week,id,julian_start,julian_end,high_temp_start,high_temp_end,low_temp_start,low_temp_end,light_on,light_off,daylength,fan speed
15-May,week1,135,141,5:20:00,21:45:00,21:45:00,5:20:00,5:29:00,20:49:00,,
22-May,week2,142,148,5:20:00,21:45:00,21:45:00,5:20:00,5:20:00,20:58:00,,
29-May,week3,149,155,5:20:00,21:45:00,21:45:00,5:20:00,5:14:00,21:05:00,,
05-Jun,week4,156,162,5:20:00,21:45:00,21:45:00,5:20:00,5:07:00,21:15:00,,
12-Jun,week5,163,169,5:20:00,21:45:00,21:45:00,5:20:00,5:04:00,21:20:00,,
19-Jun,week6,170,176,5:20:00,21:45:00,21:45:00,5:20:00,5:04:00,21:23:00,,
26-Jun,week7,177,183,5:20:00,21:45:00,21:45:00,5:20:00,5:06:00,21:24:00,,
03-Jul,week8,184,190,5:20:00,21:45:00,21:45:00,5:20:00,5:10:00,21:22:00,,
10-Jul,week9,191,197,5:20:00,21:45:00,21:45:00,5:20:00,5:16:28,21:19:19,,
17-Jul,week10,198,204,5:20:00,21:45:00,21:45:00,5:20:00,5:23:50,21:13:31,,
24-Jul,week11,205,211,5:20:00,21:45:00,21:45:00,5:20:00,5:32:18,21:05:45,,